epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.9846,3.75724,4.93638,3.92359,0.00014,0.05319,0.00013,4e-05,3.68379,4.51599,3.66709,0.0674747,0.000663781,0.000663781
2,162.445,3.79673,4.46754,3.56568,0.00038,0.08375,0.0003,7e-05,3.74967,5.02273,3.62611,0.0348001,0.00132246,0.00132246
3,237.709,3.50312,4.0393,3.27039,0.46236,0.02386,0.01014,0.00255,3.15145,4.03764,3.18815,0.00211745,0.00197315,0.00197315
4,312.322,2.74383,3.52373,2.74159,0.09311,0.10628,0.03698,0.01036,2.69944,4.04965,2.78382,0.001964,0.001964,0.001964
5,386.486,2.42984,3.14997,2.46571,0.14261,0.13828,0.07162,0.02492,2.55715,3.75539,2.64818,0.001952,0.001952,0.001952
6,461.53,2.2716,2.89149,2.29352,0.20965,0.13755,0.09973,0.03615,2.44676,3.34435,2.51881,0.00194,0.00194,0.00194
7,536.081,2.16869,2.71989,2.20655,0.19166,0.16027,0.12055,0.04766,2.37175,3.22374,2.42668,0.001928,0.001928,0.001928
8,611.015,2.08662,2.58836,2.12769,0.2026,0.20316,0.1435,0.05901,2.3461,3.24491,2.4237,0.001916,0.001916,0.001916
9,685.449,2.02562,2.47469,2.06446,0.22561,0.19649,0.15394,0.0619,2.33686,3.11607,2.36298,0.001904,0.001904,0.001904
10,759.752,1.9663,2.37252,2.00815,0.24906,0.19087,0.15377,0.06327,2.26158,3.11058,2.30589,0.001892,0.001892,0.001892
11,832.763,1.90894,2.26699,1.95371,0.24156,0.21965,0.17815,0.07522,2.29626,3.05435,2.31407,0.00188,0.00188,0.00188
12,905.865,1.87001,2.18978,1.90994,0.35971,0.22019,0.19069,0.08375,2.26808,2.92354,2.32588,0.001868,0.001868,0.001868
13,978.899,1.82902,2.12225,1.87561,0.37581,0.20518,0.18193,0.07627,2.26225,2.9354,2.28582,0.001856,0.001856,0.001856
14,1052.2,1.78879,2.04928,1.83957,0.37532,0.22897,0.20007,0.08575,2.24279,2.88038,2.27576,0.001844,0.001844,0.001844
15,1125.72,1.75009,1.97659,1.80169,0.3831,0.23861,0.21097,0.09082,2.22697,2.82486,2.2348,0.001832,0.001832,0.001832
16,1198.86,1.71548,1.92534,1.76956,0.40708,0.24874,0.22328,0.09557,2.2121,2.75186,2.24444,0.00182,0.00182,0.00182
17,1272.22,1.67795,1.86544,1.73929,0.40769,0.23618,0.22257,0.09896,2.21973,2.76589,2.25828,0.001808,0.001808,0.001808
18,1344.52,1.66292,1.82501,1.7219,0.40191,0.25396,0.22862,0.1031,2.20746,2.71247,2.21879,0.001796,0.001796,0.001796
19,1418.19,1.62919,1.77673,1.69512,0.40814,0.25755,0.23601,0.10541,2.20404,2.67087,2.21567,0.001784,0.001784,0.001784
20,1491.33,1.5951,1.7235,1.66527,0.40642,0.26593,0.24574,0.11149,2.18804,2.65732,2.22317,0.001772,0.001772,0.001772
21,1565.11,1.57174,1.6913,1.64736,0.4235,0.26801,0.24513,0.10907,2.20687,2.61874,2.22139,0.00176,0.00176,0.00176
22,1639.41,1.55005,1.64854,1.62871,0.42493,0.26778,0.25305,0.11381,2.17747,2.60919,2.19061,0.001748,0.001748,0.001748
23,1712.77,1.53265,1.61842,1.61329,0.4284,0.27537,0.25174,0.11489,2.19255,2.60453,2.19715,0.001736,0.001736,0.001736
24,1785.05,1.50546,1.58216,1.59456,0.42713,0.27357,0.25496,0.11487,2.192,2.57435,2.19093,0.001724,0.001724,0.001724
25,1858.39,1.49172,1.54529,1.57741,0.45093,0.27248,0.26408,0.11958,2.1873,2.54678,2.17969,0.001712,0.001712,0.001712
26,1931.71,1.46524,1.52122,1.56416,0.45968,0.26856,0.26106,0.11833,2.19648,2.57653,2.19184,0.0017,0.0017,0.0017
27,2005.17,1.44736,1.48781,1.54798,0.43402,0.283,0.26551,0.12146,2.17458,2.53131,2.16829,0.001688,0.001688,0.001688
28,2077.37,1.42708,1.47315,1.53304,0.43972,0.27816,0.26459,0.12034,2.1829,2.53639,2.1779,0.001676,0.001676,0.001676
29,2150.92,1.41517,1.45241,1.51824,0.44473,0.28324,0.27024,0.12192,2.18505,2.51312,2.17283,0.001664,0.001664,0.001664
30,2223.73,1.39888,1.43139,1.50931,0.45302,0.28454,0.26997,0.12247,2.17379,2.47434,2.16121,0.001652,0.001652,0.001652
31,2295.9,1.38822,1.41447,1.50274,0.43359,0.29595,0.27167,0.12439,2.16565,2.4962,2.15788,0.00164,0.00164,0.00164
32,2368.08,1.37171,1.3922,1.48893,0.44348,0.28549,0.27291,0.12433,2.1646,2.48741,2.14251,0.001628,0.001628,0.001628
33,2439.46,1.35672,1.36345,1.4716,0.44021,0.29102,0.27622,0.12706,2.16735,2.47313,2.15032,0.001616,0.001616,0.001616
34,2511.57,1.34091,1.35176,1.46314,0.44585,0.29134,0.27677,0.127,2.17155,2.47865,2.16268,0.001604,0.001604,0.001604
35,2582.29,1.32243,1.32662,1.44849,0.44747,0.29691,0.28392,0.13175,2.15798,2.46247,2.12276,0.001592,0.001592,0.001592
36,2653.44,1.32082,1.32636,1.44334,0.46297,0.28956,0.28477,0.13165,2.1524,2.44299,2.12626,0.00158,0.00158,0.00158
37,2725.16,1.30319,1.30223,1.43362,0.45754,0.29066,0.28635,0.13149,2.15892,2.43401,2.13325,0.001568,0.001568,0.001568
38,2796.5,1.29417,1.28395,1.42501,0.46952,0.29065,0.2898,0.13257,2.14855,2.43005,2.11558,0.001556,0.001556,0.001556
39,2867.45,1.27752,1.26405,1.4133,0.44705,0.29849,0.29007,0.13212,2.15216,2.42541,2.12189,0.001544,0.001544,0.001544
40,2939.35,1.26345,1.25538,1.4023,0.47213,0.29365,0.29282,0.13526,2.14567,2.3962,2.11477,0.001532,0.001532,0.001532
41,3012.18,1.26789,1.25079,1.4021,0.46655,0.29396,0.29763,0.13729,2.13644,2.38131,2.10746,0.00152,0.00152,0.00152
42,3084.57,1.24955,1.22852,1.39046,0.47227,0.29829,0.30078,0.13789,2.14086,2.39122,2.10591,0.001508,0.001508,0.001508
43,3157.46,1.23666,1.20954,1.37925,0.45337,0.30861,0.30065,0.1386,2.13543,2.3845,2.09525,0.001496,0.001496,0.001496
44,3228.5,1.23412,1.209,1.37767,0.47073,0.29255,0.29657,0.13823,2.13451,2.3813,2.10334,0.001484,0.001484,0.001484
45,3299.42,1.21941,1.18789,1.36699,0.48252,0.28902,0.29635,0.13714,2.13352,2.37793,2.09503,0.001472,0.001472,0.001472
46,3371.25,1.21169,1.17995,1.35996,0.47416,0.30137,0.3008,0.13934,2.13142,2.35634,2.09471,0.00146,0.00146,0.00146
47,3442.38,1.20503,1.1713,1.35793,0.46398,0.30333,0.29938,0.13845,2.13217,2.35527,2.09269,0.001448,0.001448,0.001448
48,3513.51,1.19495,1.16143,1.348,0.47171,0.30259,0.30021,0.13916,2.13248,2.35772,2.09356,0.001436,0.001436,0.001436
49,3585.08,1.18672,1.14709,1.33893,0.47548,0.30312,0.30143,0.13974,2.13153,2.35649,2.09473,0.001424,0.001424,0.001424
50,3656.55,1.18142,1.14402,1.339,0.47469,0.30751,0.30272,0.1408,2.12908,2.34437,2.09262,0.001412,0.001412,0.001412
51,3734.72,1.97597,2.2991,1.93971,0.47855,0.32799,0.32216,0.15606,2.02506,2.27198,1.97841,0.0014,0.0014,0.0014
52,3804.94,1.9174,2.20963,1.87135,0.48578,0.34035,0.33617,0.16665,1.97419,2.22708,1.9189,0.001388,0.001388,0.001388
53,3876.63,1.89123,2.17866,1.8544,0.49188,0.35099,0.34731,0.17219,1.93874,2.19477,1.88218,0.001376,0.001376,0.001376
54,3948.55,1.87507,2.12631,1.83417,0.50382,0.35199,0.35481,0.17888,1.92024,2.17378,1.86138,0.001364,0.001364,0.001364
55,4018.51,1.86423,2.10992,1.81894,0.5081,0.35781,0.36231,0.18272,1.90809,2.1559,1.84655,0.001352,0.001352,0.001352
56,4089.96,1.85746,2.09542,1.81863,0.51066,0.36511,0.36733,0.18517,1.89798,2.13753,1.83594,0.00134,0.00134,0.00134
57,4160.48,1.84641,2.07166,1.80471,0.5116,0.36719,0.37002,0.18818,1.89174,2.12527,1.82983,0.001328,0.001328,0.001328
58,4231.6,1.8378,2.03898,1.79074,0.51194,0.3737,0.3775,0.19175,1.88904,2.11452,1.82235,0.001316,0.001316,0.001316
59,4302.26,1.82604,2.02563,1.78767,0.5118,0.37659,0.37817,0.19241,1.88379,2.10443,1.8158,0.001304,0.001304,0.001304
60,4373.68,1.82572,2.01021,1.7786,0.52239,0.37031,0.37921,0.19306,1.87934,2.09703,1.81036,0.001292,0.001292,0.001292
61,4444.6,1.80875,1.97802,1.76575,0.53,0.36768,0.38323,0.19515,1.8755,2.08611,1.80752,0.00128,0.00128,0.00128
62,4516.17,1.7983,1.9705,1.76129,0.53748,0.37024,0.38611,0.19612,1.87188,2.07455,1.80399,0.001268,0.001268,0.001268
63,4586.94,1.80411,1.96755,1.76396,0.53701,0.37236,0.38985,0.19796,1.86762,2.06419,1.80024,0.001256,0.001256,0.001256
64,4657.61,1.78505,1.94882,1.75372,0.53472,0.3741,0.39177,0.19945,1.86398,2.05705,1.79894,0.001244,0.001244,0.001244
65,4729.46,1.78586,1.92486,1.74714,0.52125,0.38471,0.3935,0.19974,1.86077,2.05153,1.79682,0.001232,0.001232,0.001232
66,4801.66,1.77281,1.91378,1.74507,0.51874,0.3893,0.39547,0.20062,1.85868,2.0443,1.79457,0.00122,0.00122,0.00122
67,4873.36,1.77573,1.90249,1.73718,0.52008,0.38728,0.39684,0.20128,1.85706,2.03866,1.7919,0.001208,0.001208,0.001208
68,4944.92,1.7625,1.8855,1.72746,0.48949,0.39593,0.39959,0.20211,1.85575,2.03281,1.78981,0.001196,0.001196,0.001196
69,5016.76,1.75637,1.88101,1.72324,0.47376,0.39818,0.40125,0.20333,1.85453,2.02811,1.78837,0.001184,0.001184,0.001184
70,5087.54,1.75244,1.8696,1.72242,0.46865,0.39869,0.40282,0.20382,1.85385,2.02437,1.78783,0.001172,0.001172,0.001172
71,5157.92,1.74535,1.85311,1.71442,0.48206,0.39017,0.40258,0.20485,1.85312,2.02007,1.78692,0.00116,0.00116,0.00116
72,5229.46,1.74801,1.84607,1.70665,0.59892,0.38489,0.43965,0.22646,1.8524,2.01578,1.78504,0.001148,0.001148,0.001148
73,5301.83,1.73997,1.8244,1.70398,0.5987,0.38478,0.44099,0.22703,1.85196,2.01289,1.78364,0.001136,0.001136,0.001136
74,5373.6,1.72966,1.82115,1.70452,0.60259,0.38027,0.42575,0.2183,1.85163,2.00936,1.78273,0.001124,0.001124,0.001124
75,5445.6,1.72791,1.80875,1.69713,0.59993,0.38,0.43307,0.22122,1.85099,2.00514,1.78178,0.001112,0.001112,0.001112
76,5515.81,1.72582,1.79963,1.6931,0.59656,0.38369,0.43392,0.22152,1.8512,2.00235,1.78109,0.0011,0.0011,0.0011
77,5586.33,1.71604,1.78587,1.68438,0.59322,0.38591,0.43185,0.22079,1.85056,1.999,1.78011,0.001088,0.001088,0.001088
78,5657.33,1.7094,1.76495,1.67443,0.59909,0.38235,0.4326,0.22163,1.85001,1.99477,1.77854,0.001076,0.001076,0.001076
79,5728.19,1.70253,1.76378,1.67733,0.60056,0.38355,0.4336,0.22228,1.85013,1.99256,1.77824,0.001064,0.001064,0.001064
80,5798.6,1.70632,1.75215,1.67435,0.5967,0.38688,0.43562,0.22405,1.84995,1.98981,1.77716,0.001052,0.001052,0.001052
81,5869.03,1.70021,1.74548,1.67096,0.59303,0.38685,0.43712,0.22502,1.85008,1.98719,1.77644,0.00104,0.00104,0.00104
82,5939.72,1.6895,1.74004,1.65958,0.57884,0.39361,0.43681,0.2246,1.84979,1.98413,1.77539,0.001028,0.001028,0.001028
83,6010.94,1.6896,1.73135,1.66211,0.57794,0.3941,0.43883,0.22615,1.84958,1.98224,1.77446,0.001016,0.001016,0.001016
84,6081.89,1.68711,1.72228,1.6592,0.56872,0.39633,0.4388,0.22593,1.84969,1.97951,1.77395,0.001004,0.001004,0.001004
85,6153.02,1.67862,1.70739,1.65379,0.57427,0.39756,0.44164,0.22715,1.84971,1.97728,1.77373,0.000992,0.000992,0.000992
86,6224.2,1.67456,1.69203,1.64856,0.57346,0.40438,0.44259,0.22782,1.85051,1.97453,1.77405,0.00098,0.00098,0.00098
87,6295.87,1.67861,1.69013,1.64901,0.56778,0.40592,0.44503,0.22912,1.85106,1.9723,1.77429,0.000968,0.000968,0.000968
88,6366.88,1.67022,1.67222,1.64658,0.58654,0.39872,0.44592,0.22945,1.85138,1.96971,1.77402,0.000956,0.000956,0.000956
89,6437.76,1.6559,1.67025,1.62883,0.58852,0.39885,0.44621,0.23007,1.85176,1.96782,1.77375,0.000944,0.000944,0.000944
90,6508.28,1.6605,1.66626,1.63754,0.58183,0.40301,0.44692,0.23034,1.85228,1.96521,1.7737,0.000932,0.000932,0.000932
91,6578.78,1.6509,1.64867,1.62537,0.58406,0.40354,0.44736,0.23066,1.85255,1.9637,1.7735,0.00092,0.00092,0.00092
92,6649.61,1.6491,1.64525,1.6278,0.57486,0.40478,0.4471,0.22974,1.8528,1.96199,1.77315,0.000908,0.000908,0.000908
93,6720.78,1.64544,1.63775,1.62343,0.56921,0.40589,0.44754,0.23057,1.85337,1.96041,1.7728,0.000896,0.000896,0.000896
94,6791,1.6405,1.61937,1.62003,0.57191,0.40479,0.44836,0.23137,1.85389,1.95861,1.77306,0.000884,0.000884,0.000884
95,6862.5,1.63836,1.6163,1.61535,0.56888,0.40521,0.44866,0.23157,1.85372,1.95752,1.7726,0.000872,0.000872,0.000872
96,6932.83,1.63198,1.60988,1.61275,0.56772,0.40493,0.44918,0.231,1.85433,1.95649,1.77277,0.00086,0.00086,0.00086
97,7004.35,1.62577,1.59788,1.60756,0.56704,0.40665,0.44904,0.23226,1.85459,1.95364,1.77195,0.000848,0.000848,0.000848
