epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,5408.79,0.06378,0.99117,1,0.02746,0.00208,0.00208,0.00208
82,5474.89,0.05503,0.99293,1,0.02343,0.001981,0.001981,0.001981
83,5541.92,0.05801,0.99382,1,0.01988,0.001882,0.001882,0.001882
84,5606.92,0.06282,0.99293,1,0.02191,0.001783,0.001783,0.001783
85,5672.02,0.05945,0.99205,1,0.02137,0.001684,0.001684,0.001684
86,5741.42,0.06496,0.99205,1,0.02434,0.001585,0.001585,0.001585
87,5807.89,0.06372,0.9947,1,0.02055,0.001486,0.001486,0.001486
88,5872.52,0.05118,0.99205,1,0.02059,0.001387,0.001387,0.001387
89,5937.6,0.05329,0.99382,1,0.01859,0.001288,0.001288,0.001288
90,6003.97,0.05271,0.99293,1,0.01784,0.001189,0.001189,0.001189
91,6070.59,0.0528,0.99293,1,0.01746,0.00109,0.00109,0.00109
92,6136.93,0.05572,0.9947,1,0.01748,0.000991,0.000991,0.000991
93,6204.46,0.04685,0.9947,1,0.01482,0.000892,0.000892,0.000892
94,6269.88,0.04702,0.99382,1,0.01648,0.000793,0.000793,0.000793
95,6336.52,0.04862,0.9947,1,0.0166,0.000694,0.000694,0.000694
96,6402.14,0.04316,0.9947,1,0.01466,0.000595,0.000595,0.000595
97,6468.29,0.0484,0.9947,1,0.01481,0.000496,0.000496,0.000496
98,6534.65,0.04479,0.99382,1,0.01647,0.000397,0.000397,0.000397
99,6600.71,0.04071,0.99647,1,0.01499,0.000298,0.000298,0.000298
100,6666.82,0.04281,0.9947,1,0.01479,0.000199,0.000199,0.000199
