epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3543,1.93292,3.03058,1.76698,0.07061,0.28976,0.09709,0.04739,2.58706,4.088,2.31082,0.0672845,0.00033046,0.00033046
2,92.5202,1.79491,2.17768,1.65691,0.39299,0.20166,0.18825,0.0883,2.28559,3.15663,2.22379,0.0342805,0.00065981,0.00065981
3,135.882,1.77341,2.03978,1.63293,0.41628,0.21281,0.20679,0.08858,2.27076,3.07038,2.16377,0.00127252,0.000985161,0.000985161
4,179.557,1.73205,1.92109,1.59769,0.3794,0.2156,0.20227,0.10116,2.22061,3.48464,2.1415,0.000982,0.000982,0.000982
5,222.93,1.6736,1.81172,1.55686,0.53228,0.22287,0.21451,0.10461,2.31101,3.5492,2.113,0.000976,0.000976,0.000976
6,266.06,1.62587,1.71279,1.51827,0.45109,0.28167,0.27873,0.11973,2.13874,2.58567,1.94328,0.00097,0.00097,0.00097
7,309.261,1.59095,1.62321,1.49034,0.45874,0.23827,0.22994,0.10751,2.2708,3.17702,2.06314,0.000964,0.000964,0.000964
8,352.47,1.55026,1.55776,1.46548,0.43598,0.30331,0.27688,0.13162,2.19429,2.61718,1.94312,0.000958,0.000958,0.000958
9,395.507,1.51103,1.49386,1.44064,0.44728,0.27316,0.27122,0.1314,2.10235,2.63281,1.95825,0.000952,0.000952,0.000952
10,438.524,1.4806,1.43385,1.4196,0.47179,0.27033,0.25056,0.11012,2.17714,2.83568,1.96904,0.000946,0.000946,0.000946
11,481.608,1.45079,1.39206,1.39806,0.56425,0.29353,0.27714,0.12384,2.23086,2.55474,1.92891,0.00094,0.00094,0.00094
12,524.395,1.42586,1.34469,1.38444,0.61407,0.3235,0.32564,0.15659,2.08394,2.30842,1.95816,0.000934,0.000934,0.000934
13,567.292,1.38782,1.29726,1.36261,0.58227,0.29627,0.29624,0.14082,2.10198,2.58707,1.9296,0.000928,0.000928,0.000928
14,610.094,1.36794,1.26087,1.34792,0.60122,0.32893,0.32191,0.15434,2.08765,2.37048,1.96154,0.000922,0.000922,0.000922
15,653.28,1.33964,1.21923,1.32774,0.60168,0.31188,0.32602,0.15932,2.08161,2.45092,1.94157,0.000916,0.000916,0.000916
16,696.464,1.31762,1.18899,1.31618,0.58735,0.3235,0.30758,0.14878,2.13638,2.43242,1.89936,0.00091,0.00091,0.00091
17,739.629,1.30129,1.16041,1.30409,0.60375,0.32967,0.32975,0.15894,2.09001,2.34721,1.92364,0.000904,0.000904,0.000904
18,782.779,1.27913,1.13044,1.28858,0.63299,0.32275,0.34004,0.16721,2.05575,2.27124,1.88385,0.000898,0.000898,0.000898
19,825.831,1.25513,1.10968,1.27711,0.54128,0.35579,0.34396,0.16444,2.0577,2.25749,1.89542,0.000892,0.000892,0.000892
20,868.96,1.23667,1.07706,1.26433,0.60773,0.33432,0.34676,0.17013,2.05528,2.22074,1.88063,0.000886,0.000886,0.000886
