epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.419,2.99923,3.58732,2.7317,0.08739,0.12062,0.04174,0.01177,2.86896,4.20377,2.66187,0.0670626,0.000332701,0.000332701
2,355.849,2.165,2.61683,2.09228,0.31517,0.18152,0.12988,0.05116,2.40639,3.22661,2.27501,0.0340586,0.000662038,0.000662038
3,526.711,1.87874,2.12855,1.86018,0.31968,0.18286,0.14751,0.05908,2.35661,3.25914,2.29402,0.00105063,0.000987375,0.000987375
4,696.057,1.686,1.8177,1.70779,0.51578,0.23026,0.20489,0.08579,2.28344,2.86784,2.2366,0.000982,0.000982,0.000982
5,865.13,1.51477,1.5694,1.58278,0.38691,0.23264,0.20823,0.08955,2.33571,2.8719,2.34366,0.000976,0.000976,0.000976
6,1035.07,1.40338,1.42612,1.50334,0.52495,0.25208,0.2373,0.10909,2.20918,2.79165,2.20777,0.00097,0.00097,0.00097
7,1204.81,1.31968,1.32111,1.44465,0.41345,0.26286,0.23602,0.10377,2.2601,2.67167,2.25694,0.000964,0.000964,0.000964
8,1374.74,1.25436,1.2325,1.398,0.54906,0.26303,0.25288,0.11413,2.19902,2.61446,2.21812,0.000958,0.000958,0.000958
9,1544.01,1.20831,1.1888,1.3691,0.52978,0.26082,0.24369,0.10987,2.21386,2.64018,2.18971,0.000952,0.000952,0.000952
10,1713.56,1.1626,1.13994,1.33717,0.4096,0.27189,0.2538,0.11482,2.2202,2.61966,2.19515,0.000946,0.000946,0.000946
11,1883.69,1.11638,1.08604,1.30547,0.52876,0.29456,0.26631,0.12163,2.16025,2.5188,2.12064,0.00094,0.00094,0.00094
12,2052.62,1.09214,1.06618,1.29328,0.33278,0.28196,0.26779,0.12401,2.18078,2.59244,2.15994,0.000934,0.000934,0.000934
13,2223,1.05517,1.01303,1.26258,0.54713,0.28326,0.274,0.12431,2.11539,2.43107,2.08767,0.000928,0.000928,0.000928
14,2394.28,1.04032,1.00539,1.25278,0.56255,0.28928,0.28352,0.13224,2.1093,2.38814,2.06923,0.000922,0.000922,0.000922
15,2563.14,1.02417,0.98322,1.23611,0.43961,0.31499,0.29247,0.13868,2.12884,2.42377,2.08771,0.000916,0.000916,0.000916
16,2731.92,1.00322,0.96374,1.2228,0.53726,0.32668,0.30446,0.14233,2.07908,2.32977,2.04326,0.00091,0.00091,0.00091
17,2901.45,0.98404,0.94683,1.21773,0.45707,0.30695,0.29906,0.14364,2.0981,2.40554,2.1198,0.000904,0.000904,0.000904
18,3070.34,0.9616,0.9244,1.20245,0.56909,0.31344,0.2985,0.14335,2.08878,2.30336,2.04512,0.000898,0.000898,0.000898
19,3240.43,0.95152,0.91136,1.19171,0.55579,0.31096,0.29607,0.14342,2.07574,2.32076,2.06968,0.000892,0.000892,0.000892
20,3408.43,0.94072,0.90268,1.1888,0.57521,0.315,0.30114,0.14359,2.05539,2.29531,2.02584,0.000886,0.000886,0.000886
21,3577.43,0.92085,0.88388,1.17598,0.58798,0.31618,0.31275,0.15135,2.05193,2.2854,2.01344,0.00088,0.00088,0.00088
22,3746.99,0.91517,0.87898,1.17109,0.52241,0.33122,0.31926,0.15557,2.01674,2.23924,1.9767,0.000874,0.000874,0.000874
23,3916.37,0.90039,0.86131,1.1638,0.47355,0.32744,0.31939,0.1534,2.02338,2.22245,1.97419,0.000868,0.000868,0.000868
24,4084.87,0.89639,0.85956,1.15727,0.59328,0.32519,0.32766,0.15912,2.02305,2.2155,1.9964,0.000862,0.000862,0.000862
25,4254.46,0.87629,0.83713,1.14297,0.47162,0.32379,0.31873,0.15554,2.02296,2.23415,1.96668,0.000856,0.000856,0.000856
26,4423.78,0.87173,0.83145,1.14274,0.47413,0.33126,0.33004,0.15731,2.00226,2.20345,1.97734,0.00085,0.00085,0.00085
27,4593.37,0.86134,0.82154,1.13782,0.59949,0.33291,0.33802,0.16454,1.98936,2.15257,1.94207,0.000844,0.000844,0.000844
28,4763.32,0.86028,0.82337,1.13762,0.46453,0.35481,0.33697,0.16291,1.98597,2.16352,1.92943,0.000838,0.000838,0.000838
29,4933.1,0.84714,0.80554,1.12773,0.60874,0.33756,0.34032,0.1669,1.98283,2.14954,1.95426,0.000832,0.000832,0.000832
30,5102.08,0.83963,0.7974,1.12498,0.59577,0.33843,0.33742,0.16424,1.97049,2.14251,1.9251,0.000826,0.000826,0.000826
31,5271.11,0.83337,0.79218,1.12161,0.60851,0.34051,0.35173,0.16964,1.97731,2.15185,1.94377,0.00082,0.00082,0.00082
32,5440.79,0.82459,0.78272,1.11458,0.5877,0.36252,0.35765,0.1732,1.97686,2.13562,1.93482,0.000814,0.000814,0.000814
33,5610.11,0.81399,0.768,1.10612,0.60457,0.34503,0.34772,0.17112,1.96743,2.13782,1.91678,0.000808,0.000808,0.000808
