epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2639.14,1.3913,1.33006,1.32714,0.62489,0.34333,0.35717,0.17788,1.96578,2.09755,1.84776,0.007228,0.007228,0.007228
44,2700.08,1.38676,1.31624,1.32658,0.60962,0.35985,0.35786,0.17854,1.96598,2.10379,1.84659,0.007162,0.007162,0.007162
45,2761.11,1.3797,1.30443,1.32102,0.60465,0.36082,0.36124,0.1794,1.96839,2.09455,1.84825,0.007096,0.007096,0.007096
46,2821.65,1.3697,1.29695,1.31157,0.6205,0.35582,0.36438,0.18143,1.96667,2.08729,1.84409,0.00703,0.00703,0.00703
47,2882.27,1.36755,1.28892,1.30916,0.62889,0.34904,0.36399,0.18259,1.96365,2.087,1.84569,0.006964,0.006964,0.006964
48,2943.26,1.35146,1.26846,1.30542,0.62221,0.35309,0.36364,0.18102,1.95765,2.07947,1.83669,0.006898,0.006898,0.006898
49,3003.84,1.34269,1.26625,1.29516,0.61084,0.36176,0.36312,0.18109,1.95296,2.07697,1.83158,0.006832,0.006832,0.006832
50,3064.56,1.33444,1.25042,1.28935,0.62189,0.35314,0.362,0.18121,1.95292,2.07486,1.83132,0.006766,0.006766,0.006766
51,3124.8,1.33611,1.25482,1.29092,0.61347,0.35732,0.36386,0.18213,1.94711,2.07048,1.82564,0.0067,0.0067,0.0067
52,3185.16,1.32686,1.24352,1.28497,0.62246,0.3526,0.36688,0.1831,1.94299,2.06712,1.82157,0.006634,0.006634,0.006634
53,3245.6,1.31982,1.23338,1.28361,0.61338,0.36141,0.36636,0.18225,1.94459,2.06324,1.82167,0.006568,0.006568,0.006568
54,3305.93,1.31353,1.22817,1.2805,0.60941,0.36339,0.36747,0.18225,1.94223,2.06213,1.81921,0.006502,0.006502,0.006502
55,3366.56,1.30263,1.21489,1.27218,0.61219,0.36204,0.36578,0.18227,1.93966,2.05907,1.81589,0.006436,0.006436,0.006436
56,3426.72,1.29884,1.20902,1.26845,0.60893,0.36468,0.36549,0.18281,1.93794,2.06102,1.81329,0.00637,0.00637,0.00637
57,3487.2,1.29122,1.20215,1.26761,0.62611,0.35264,0.36761,0.18321,1.93822,2.0624,1.81376,0.006304,0.006304,0.006304
58,3548.12,1.28654,1.19004,1.26292,0.61052,0.3658,0.36964,0.18469,1.93772,2.05971,1.8122,0.006238,0.006238,0.006238
59,3608.85,1.2742,1.18504,1.26312,0.61436,0.36421,0.37152,0.18453,1.93557,2.05627,1.81155,0.006172,0.006172,0.006172
60,3669.64,1.26837,1.17188,1.25248,0.62276,0.35906,0.37094,0.18454,1.93308,2.05581,1.80917,0.006106,0.006106,0.006106
61,3729.5,1.27005,1.17155,1.25268,0.61023,0.36918,0.37225,0.18581,1.9316,2.05534,1.80765,0.00604,0.00604,0.00604
62,3790.39,1.26041,1.16387,1.2464,0.62471,0.36094,0.37355,0.1864,1.93085,2.05307,1.80599,0.005974,0.005974,0.005974
63,3850.96,1.25467,1.15468,1.24359,0.62455,0.36099,0.37422,0.18701,1.93097,2.05177,1.80571,0.005908,0.005908,0.005908
64,3911.08,1.25941,1.15514,1.24198,0.62013,0.36405,0.37549,0.18741,1.92885,2.04995,1.80364,0.005842,0.005842,0.005842
65,3971.81,1.23781,1.12895,1.22845,0.62162,0.36428,0.37724,0.18718,1.92858,2.04764,1.80276,0.005776,0.005776,0.005776
