epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5035.93,0.9709,0.82507,1.14774,0.61359,0.44865,0.44256,0.23432,1.80066,1.74434,1.7098,0.007228,0.007228,0.007228
44,5159.93,0.96723,0.82552,1.14729,0.62589,0.43381,0.44102,0.23364,1.79392,1.74031,1.70255,0.007162,0.007162,0.007162
45,5276.47,0.96181,0.8193,1.1437,0.62844,0.43674,0.44547,0.23769,1.79564,1.73339,1.69925,0.007096,0.007096,0.007096
46,5393.42,0.95724,0.81622,1.13965,0.66834,0.40524,0.43936,0.23621,1.79062,1.73101,1.69422,0.00703,0.00703,0.00703
47,5510.01,0.94814,0.8072,1.135,0.66449,0.40626,0.43936,0.23519,1.78823,1.72648,1.69123,0.006964,0.006964,0.006964
48,5626.53,0.94666,0.80703,1.13388,0.65916,0.40877,0.44805,0.23786,1.78723,1.72519,1.689,0.006898,0.006898,0.006898
49,5743.06,0.93858,0.79981,1.13161,0.56629,0.43311,0.43682,0.23468,1.78389,1.72552,1.68898,0.006832,0.006832,0.006832
50,5859.91,0.93387,0.79303,1.12753,0.56223,0.45854,0.44141,0.23679,1.78136,1.71904,1.68981,0.006766,0.006766,0.006766
51,5977.06,0.92539,0.78655,1.12288,0.57675,0.44607,0.44154,0.24196,1.77732,1.71728,1.68549,0.0067,0.0067,0.0067
52,6093.43,0.92667,0.78838,1.1245,0.58409,0.46057,0.44476,0.24258,1.77245,1.71447,1.68116,0.006634,0.006634,0.006634
53,6210.33,0.91681,0.77805,1.11581,0.59022,0.45382,0.44827,0.24335,1.76802,1.70591,1.67688,0.006568,0.006568,0.006568
54,6327.65,0.91045,0.77432,1.11219,0.58842,0.467,0.45016,0.24232,1.76499,1.7039,1.6742,0.006502,0.006502,0.006502
55,6445.12,0.9087,0.76911,1.11092,0.62574,0.4467,0.45441,0.24422,1.76553,1.69939,1.67338,0.006436,0.006436,0.006436
56,6561.95,0.90497,0.76579,1.10992,0.63637,0.44369,0.45735,0.24757,1.76223,1.6965,1.66963,0.00637,0.00637,0.00637
57,6679.01,0.89668,0.7531,1.10374,0.62604,0.45244,0.45856,0.2484,1.75935,1.69191,1.66616,0.006304,0.006304,0.006304
58,6795.81,0.89821,0.75816,1.10598,0.60353,0.45791,0.45747,0.24863,1.75893,1.68898,1.66445,0.006238,0.006238,0.006238
59,6912.86,0.8922,0.75066,1.09977,0.49696,0.46587,0.45911,0.25012,1.75593,1.68542,1.66266,0.006172,0.006172,0.006172
60,7030.34,0.8868,0.7476,1.09837,0.49942,0.46205,0.45857,0.24983,1.75382,1.68057,1.6605,0.006106,0.006106,0.006106
61,7147.4,0.88692,0.74527,1.09868,0.49896,0.46591,0.46013,0.24996,1.75148,1.67666,1.65896,0.00604,0.00604,0.00604
62,7264.35,0.87716,0.7391,1.09318,0.51498,0.45637,0.46418,0.25091,1.75075,1.6751,1.65726,0.005974,0.005974,0.005974
63,7381.58,0.87735,0.74173,1.09262,0.51643,0.45135,0.46493,0.25218,1.74949,1.67188,1.65559,0.005908,0.005908,0.005908
64,7498.85,0.86753,0.73127,1.08848,0.52384,0.44866,0.46835,0.25477,1.74903,1.66933,1.65448,0.005842,0.005842,0.005842
