epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5364.18,0.7584,0.65122,1.04829,0.41901,0.42532,0.39611,0.19637,1.87865,1.95711,1.72928,0.000748,0.000748,0.000748
44,5488.42,0.75272,0.64924,1.04575,0.41451,0.43162,0.39713,0.19694,1.87629,1.95539,1.72778,0.000742,0.000742,0.000742
45,5611.18,0.75125,0.64718,1.04565,0.41475,0.43078,0.39787,0.197,1.87529,1.9542,1.72708,0.000736,0.000736,0.000736
46,5733.49,0.75143,0.64609,1.04582,0.4064,0.43255,0.39762,0.19711,1.87548,1.95259,1.72694,0.00073,0.00073,0.00073
47,5856.07,0.74634,0.64238,1.04282,0.40293,0.43154,0.39822,0.19752,1.8751,1.94959,1.72706,0.000724,0.000724,0.000724
48,5978.84,0.74275,0.63989,1.04114,0.39178,0.41014,0.3946,0.19769,1.87384,1.94886,1.72679,0.000718,0.000718,0.000718
49,6102.15,0.74075,0.63756,1.04173,0.40371,0.40472,0.39389,0.19827,1.87298,1.94767,1.72698,0.000712,0.000712,0.000712
50,6225.84,0.73896,0.63573,1.0408,0.39575,0.41158,0.39603,0.19941,1.87138,1.94589,1.72674,0.000706,0.000706,0.000706
51,6348.83,0.73524,0.63651,1.03797,0.40507,0.40568,0.39553,0.19955,1.87113,1.94381,1.72529,0.0007,0.0007,0.0007
52,6472.28,0.73431,0.63102,1.03483,0.4116,0.40232,0.3976,0.19996,1.87024,1.94282,1.72441,0.000694,0.000694,0.000694
53,6596.21,0.73371,0.63473,1.03722,0.41283,0.40251,0.39809,0.20031,1.87062,1.94149,1.72397,0.000688,0.000688,0.000688
54,6719.9,0.72859,0.63058,1.03533,0.41955,0.3994,0.39771,0.20037,1.86953,1.93996,1.72329,0.000682,0.000682,0.000682
55,6843.64,0.7244,0.62565,1.03131,0.40955,0.40569,0.39789,0.20055,1.86858,1.93721,1.72235,0.000676,0.000676,0.000676
56,6967.18,0.72513,0.62241,1.03216,0.41163,0.40733,0.39956,0.2005,1.86805,1.93547,1.72167,0.00067,0.00067,0.00067
57,7091.04,0.71933,0.62167,1.02917,0.40973,0.41401,0.3996,0.20083,1.86746,1.93397,1.72017,0.000664,0.000664,0.000664
58,7214.56,0.71954,0.62501,1.03229,0.42715,0.40638,0.40263,0.20168,1.86632,1.93181,1.71925,0.000658,0.000658,0.000658
59,7338.5,0.71846,0.6203,1.02889,0.46747,0.41897,0.40397,0.20197,1.86597,1.92965,1.71804,0.000652,0.000652,0.000652
60,7462.2,0.71766,0.62,1.02972,0.42427,0.4132,0.40306,0.20238,1.86641,1.92768,1.71788,0.000646,0.000646,0.000646
61,7585.85,0.71204,0.61576,1.02789,0.41472,0.41249,0.40277,0.20293,1.8661,1.92509,1.71647,0.00064,0.00064,0.00064
62,7709.56,0.71265,0.61566,1.02879,0.40724,0.41039,0.40368,0.20336,1.8664,1.92289,1.71569,0.000634,0.000634,0.000634
63,7833.26,0.70927,0.61142,1.02664,0.40843,0.41375,0.40497,0.20375,1.86581,1.91953,1.71385,0.000628,0.000628,0.000628
