epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6737.59,0.58859,0.52939,0.97864,0.5446,0.44213,0.43808,0.21994,1.90482,1.86287,1.77866,0.000748,0.000748,0.000748
44,6892.24,0.58235,0.52262,0.97643,0.53601,0.45155,0.43927,0.22109,1.90347,1.84805,1.7757,0.000742,0.000742,0.000742
45,7050.16,0.57991,0.52202,0.9768,0.53812,0.45631,0.44422,0.22282,1.90451,1.84688,1.77612,0.000736,0.000736,0.000736
46,7207.72,0.57823,0.51848,0.97529,0.5602,0.46877,0.44801,0.22341,1.90185,1.84172,1.77043,0.00073,0.00073,0.00073
47,7363.11,0.57668,0.51819,0.97574,0.54385,0.44606,0.44147,0.22344,1.89515,1.84013,1.76712,0.000724,0.000724,0.000724
48,7518.84,0.56499,0.50708,0.96808,0.53192,0.44344,0.44184,0.22447,1.89268,1.83618,1.76419,0.000718,0.000718,0.000718
49,7673.37,0.56541,0.50754,0.97034,0.53588,0.44712,0.44329,0.22646,1.89106,1.83526,1.76253,0.000712,0.000712,0.000712
50,7828.42,0.5664,0.508,0.96942,0.53246,0.4583,0.44558,0.22632,1.89018,1.83042,1.75898,0.000706,0.000706,0.000706
51,7982.95,0.55614,0.49741,0.96512,0.53735,0.45229,0.44825,0.22682,1.89108,1.82784,1.75782,0.0007,0.0007,0.0007
52,8140.94,0.55384,0.49656,0.96483,0.54572,0.45571,0.45023,0.22794,1.89243,1.81925,1.75989,0.000694,0.000694,0.000694
53,8295.15,0.54947,0.48877,0.96262,0.55523,0.44703,0.45145,0.22898,1.89199,1.81341,1.75967,0.000688,0.000688,0.000688
54,8450.26,0.54859,0.48859,0.96367,0.52469,0.45113,0.44892,0.22876,1.88967,1.80327,1.75696,0.000682,0.000682,0.000682
55,8606,0.54486,0.47998,0.95895,0.52906,0.44952,0.45065,0.23106,1.89051,1.80374,1.75795,0.000676,0.000676,0.000676
56,8763.03,0.53855,0.47926,0.95696,0.517,0.45206,0.45399,0.23261,1.88766,1.80098,1.75528,0.00067,0.00067,0.00067
57,8918.75,0.53875,0.47914,0.95776,0.51415,0.45255,0.45413,0.23283,1.88592,1.7996,1.75249,0.000664,0.000664,0.000664
58,9072.38,0.53488,0.47509,0.9555,0.51709,0.44977,0.45527,0.23207,1.88549,1.79692,1.75211,0.000658,0.000658,0.000658
59,9228.83,0.53339,0.47427,0.95725,0.5082,0.45677,0.45545,0.23262,1.88515,1.79506,1.75092,0.000652,0.000652,0.000652
60,9386.3,0.52996,0.47095,0.95418,0.52426,0.45162,0.45633,0.23342,1.88604,1.794,1.75239,0.000646,0.000646,0.000646
61,9542.57,0.52412,0.46414,0.95233,0.51952,0.4505,0.45814,0.23361,1.88539,1.79387,1.75112,0.00064,0.00064,0.00064
62,9700.33,0.52671,0.46418,0.95305,0.50789,0.45558,0.4595,0.23469,1.88516,1.7914,1.75043,0.000634,0.000634,0.000634
63,9859.77,0.51572,0.4565,0.94882,0.50835,0.45753,0.4606,0.23436,1.88466,1.79006,1.75054,0.000628,0.000628,0.000628
64,10017.7,0.51845,0.45759,0.94915,0.50488,0.46243,0.46148,0.23439,1.88525,1.78903,1.75091,0.000622,0.000622,0.000622
65,10174.1,0.51814,0.45475,0.94948,0.49716,0.46039,0.46101,0.23479,1.88577,1.78666,1.75103,0.000616,0.000616,0.000616
66,10331.2,0.51232,0.45137,0.94738,0.49957,0.45766,0.46084,0.23469,1.88572,1.78476,1.75152,0.00061,0.00061,0.00061
67,10485.1,0.5115,0.44859,0.94641,0.50022,0.45642,0.46148,0.23476,1.88604,1.78447,1.75177,0.000604,0.000604,0.000604
68,10640.7,0.50986,0.44649,0.94481,0.51495,0.45261,0.46244,0.23556,1.88652,1.7831,1.75178,0.000598,0.000598,0.000598
69,10794.7,0.50978,0.44854,0.94523,0.49492,0.45898,0.46309,0.23635,1.88667,1.78025,1.75189,0.000592,0.000592,0.000592
70,10949.7,0.50787,0.44204,0.94686,0.50599,0.4534,0.46331,0.23681,1.88704,1.77953,1.751,0.000586,0.000586,0.000586
71,11105.2,0.50059,0.43981,0.94201,0.50982,0.4512,0.46412,0.23711,1.88735,1.77849,1.75115,0.00058,0.00058,0.00058
72,11263.8,0.4978,0.43207,0.9384,0.51138,0.45196,0.46535,0.23734,1.88764,1.77571,1.751,0.000574,0.000574,0.000574
